DayOfYear,MinuteOfDay,Duration
84,65,1952
104,1094,279
110,823,595
110,1028,360
111,898,523
111,1190,307
111,1358,2343
111,1407,1592
112,5,4430
113,1317,1216
114,226,274
114,1073,845
114,1118,483
114,1367,713
114,1405,2533
115,1405,1061
116,1080,2472
116,1280,606
116,1348,546
117,1027,246
117,1214,1472
118,27,1047
118,201,3773
118,952,1302
118,1257,753
119,115,463
119,1006,2587
119,1404,332
120,1209,599
121,124,777
121,267,534
121,786,225
121,1029,700
121,1352,759
122,125,3090
122,1042,655
122,1302,2459
123,1178,297
124,62,2661
124,1324,923
125,435,223
126,61,745
126,1387,557
127,159,525
128,198,792
129,457,1497
129,968,741
129,1000,615
129,1363,747
130,90,391
130,1046,941
130,1069,2428
131,103,2301
132,1080,1893
132,1116,765
134,126,828
134,306,2745
134,1305,697
135,1120,223
139,454,2876
141,759,1178
141,814,386
141,1281,228
142,10,398
143,127,1546
143,1108,4836
143,1228,659
145,631,2093
145,868,5802
145,1144,447
147,638,739
147,737,1401
148,85,737
148,111,257
148,1413,276
149,1145,299
150,850,1039
151,772,229
151,1360,1271
152,938,265
152,1160,2272
152,1229,913
153,122,279
153,843,1266
153,910,779
153,998,1553
154,893,210
154,911,1739
154,1076,2323
154,1205,910
154,1394,259
155,146,531
155,844,402
155,954,397
155,1149,1609
156,982,557
156,1136,2365
158,101,327
158,806,637
159,235,3041
160,1016,2265
161,919,733
161,964,535
162,159,216
162,175,442
162,1076,625
164,76,1144
164,1210,1631
164,1248,1611
164,1308,465
165,183,433
165,806,1530
165,844,219
167,125,211
167,338,1355
167,1031,425
167,1043,1674
167,1102,459
168,389,2671
170,124,365
170,132,271
170,1277,1431
170,1323,473
171,30,735
171,51,414
171,823,567
172,91,472
172,1331,222
172,1366,6149
173,46,644
173,115,465
173,1337,879
173,1432,424
174,130,2258
174,717,298
174,1357,1350
174,1407,1106
175,1206,525
175,1276,301
176,1204,567
177,8,394
177,83,281
177,107,1037
178,28,3606
178,1153,383
179,1355,340
179,1363,919
180,29,3080
180,121,352
181,1422,959
182,110,2633
182,1188,255
182,1253,423
183,110,385
183,275,5267
183,396,1391
184,279,733
184,1217,633
185,1400,371
185,1413,1118
186,20,867
187,133,3285
187,1301,273
188,162,720
188,194,684
188,313,1380
188,1289,249
188,1427,213
189,345,392
189,1255,3081
190,1092,662
190,1203,2659
191,123,314
191,173,290
191,1385,373
192,87,208
201,1184,1406
201,1304,1008
201,1414,1871
202,732,225
203,1427,517
204,12,2305
205,867,530
205,1169,2038
205,1270,352
206,1303,677
208,1242,237
209,1356,620
210,36,2430
210,1385,243
211,130,309
211,173,1456
211,282,252
214,97,664
214,116,2461
214,236,720
214,253,4440
214,373,392
214,1418,205
215,191,450
215,201,302
215,984,299
215,991,2215
216,371,1006
217,320,4163
218,69,3338
218,256,5074
218,372,1207
218,989,292
218,1429,1306
219,45,4759
219,165,1692
219,1092,1464
219,1405,655
220,626,493
220,1203,802
220,1334,684
220,1391,387
221,107,304
221,954,591
221,969,1574
221,1239,1054
222,879,319
223,159,332
224,139,2635
224,204,3417
228,1195,2394
229,661,249
229,1357,1702
230,37,5994
230,158,402
232,949,738
232,981,513
232,1002,765
233,83,722
235,1016,390
238,30,3698
239,1228,711
240,1049,306
241,1170,415
242,153,2326
242,1135,577
242,1146,2345
244,332,407
246,210,4639
248,2,2745
248,85,1434
248,1169,1264
252,1203,235
253,81,1781
253,1013,887
254,24,1653
254,1149,245
256,1435,303
258,23,4665
258,1219,2009
259,591,778
259,610,418
259,620,920
259,957,691
263,795,410
264,1408,560
265,1041,273
265,1431,409
266,167,1947
266,1283,1220
269,1004,233
270,1180,367
272,153,376
274,1010,785
274,1108,1208
274,1287,1012
275,1250,794
276,910,1999
276,954,943
276,1413,3685
277,254,2212
279,994,883
282,1058,233
285,1106,204
291,1082,6438
292,29,1206
292,726,323
292,1423,225
297,45,303
297,897,1127
297,922,457
297,931,1582
297,1121,2106
297,1370,206
298,863,445
298,977,1707
300,825,854
301,34,848
301,98,369
301,902,7170
302,936,1026
303,1178,466
303,1353,1141
304,1153,317
305,235,2813
307,221,4510
308,915,1488
308,1179,319
308,1215,1357
308,1311,1065
308,1405,668
311,17,6490
312,704,503
312,716,234
312,729,2122
312,769,456
312,858,398
312,886,875
312,1339,246
313,902,1319
313,1231,1243
314,55,969
314,825,1878
314,1104,798
314,1247,408
315,1028,278
315,1394,475
316,437,236
316,820,1367
316,1426,213
318,1436,200
319,905,1109
319,1152,2795
320,1426,2137
323,1032,1551
324,815,4488
325,742,1037
325,1167,1792
326,1010,402
327,921,669
327,1423,242
328,870,1387
328,1128,1266
328,1410,1171
330,1142,1091
330,1200,654
331,1098,207
332,1065,4799
150,762,427
161,169,755
161,913,246
190,1123,345
231,1296,1569
231,1416,5882
232,97,5731
232,217,5292
232,337,5576
232,457,775
242,248,576
243,39,2324
244,314,361
299,864,215
305,1325,1269
331,559,214
